MPI,lastName,firstName,birthDate,birthPlace,gender,value10
1001000000011,Werner,Giuseppe,29.08.1603,Tuttlingen,X,gfChwURhFgqK8LLPOglASk2jzsfKAZgyJzSKay7VCGMcoghfwInQ3ED+/z8om1hzAbEOeApuAMjNTZS4wRyPjLwl3LoVQLSB6Ak0XuTsjOT0xTScxymIihg5BARWmQkfCs4NQpm4q/AJ5LE4wBOWaZMphaYo+JaTF46GOIo=
1001000000028,Roerricht,Hans-Juergen,03.08.2010,Vilsbiburg,M,pQ39WUVMEt4+rrfqwvYb5GaGP6HcgDtC8p8CaauqGHF5LrICmMVAtUo8Odi60crsnjWplAk4CowwxP1CoyaeozlkDpIuhRS2OkyM47Qk4Ucp9OwXyenAKZqpoTggzpxeG+pmebJsfxN5CKrEBRpcnxIOt4AtKv4Ywgp6iDA=
1001000000035,Gorlitz,Janina,20.08.2005,Rudolstadt,M,uV48h5DUBhiyg7KMkuUILA6Eb5NZxHqsqJHLHZqC9kpRCB6ryhiJiJkt7BYgqaJYkrDc1xmSHKuroDwrC7RKBDglAQIE+bAwe2TjLbKxrb0tvCkugQFgZKpkkZyAhIjeIFM5E8AtaJt4GJjFwDkSmlIIxJgpaVleAAsYG6A=
1001000000042,Holt,Gerald,05.09.1912,Reutlingen,F,pX+CoASJASwqRKeR+CkQjC1Hj2Ahyhow9fWJYAKRQ2Oari1R8IkYFlM3QC8SCZhJUxcLrKNhAV7ohpZqgTaFAImtWiKUQDCyildEb8hgCOcx5UAcokGGqurJFVAwEl1XCMINEBgwL8spEQFYIBJWgdAIYoVI+k6JdxxEcgg=
1001000000059,Kitzmann,Alexa,04.02.1069,Paderborn,U,Fcwo3UWMgCPYZ9SKtERZwCGCSdKQGjY4kLXJ1QiDN2APAKLnFojGfw58EK8mfAIJnjRSoGmKFa0KpywmCyVHFBj0V4Es7TQAK0QHp75UFiEMAOlUikRMAepmVRoaMRPWscgewPBdZRxgdrlkLFgeGBsFCQZmc2Ze1gZRF3A=
1001000000066,Wagenknecht,Gerfried,14.09.1110,Meppen,M,hcfaCA1Mwh4qzg+ZEoBbOC8sHcWQKQrR6L6PxaOVEGuYJamTLUkyvJtdGRcsuxtBfTfIsIg4hg0qzf0gAB4L6zkNfQIEQZowLp2N+ZosKFwEdslfw4mAKl5ujUkqGJ0mGcYgcLVYj6I4PAsIADHe6hgIytCEmc9hUE4WCKI=
1001000000073,Geisel,Ljudmila,22.08.1511,Haldensleben,X,Z31AiEnglK4KRx6JUIQpzFF/OEmoluEwL9cq8y6VTG1ZjSwPtEguFSgeoh263VBjyTVMIELohYRcxoUi5xILhA0VeBadafAncO4MnqAD+yFcTEWaiakqhVhglRhJMw0sOdJJNdZwD+EI5nEJdDmOD7MNPFIw9JYxVhwFPbA=
1001000000080,Beyer,Bernard,19.08.1408,Sonneberg,X,oFKCI1XAFsYOQPULSpMYQiaHvAUAviqAq4GKiQSojGIxIjQTiYKHhRL+/zsRgiDNMDOAatIFwJASgsDy5yNZ4c1EahR9AGCUaBZMA9qswMbcxGKHwARHiUzCjxAE1QKaCkYYQaCwjTZoRSJMzSLyS1kBVAJkNFKGMsKuMFA=
1001000000097,Staude,Nadin,03.12.1051,Grafenau,U,LlyIXEWBiA5EQw9DFIHpaNAsSQyN/sIA+o0IxWqSBOuQSq1LwIlsAViwPofEmRgVX1gFKkMgoNwoxQkiTYZGiAxdljgVRQUAmgYhjeiFxp1NQGHYgAX8DZkkBRSgESjdcQggxXD0KTYIUQXIQGnShbIYaWkMoLZLF4hCmNA=
1001000000103,Ruppersberger,Walentina,06.09.1003,Rathenow,F,pV2T70TMWBruXMHNmrchhGUkjhObinYuWLWZYmm1W2mxpmqrqGFQQ1L//y8Ko9lL2xdMpm22EtUgF94yTyzPB9l/XxGewaSyaD8R8piwgnAp9GWT4imIHhruERtg3g7SnIoOcds5LVk4YBUA6jW2whOMggAsYdeRloh21BI=
