MPI,Firstname,Lastname,Gender,Birthdate,Birthplace,BloomFilter,Created at,Last edited at
1001000000011,Giuseppe,Werner,Divers,1603-08-29,Tuttlingen,gfChwURhFgqK8LLPOglASk2jzsfKAZgyJzSK [...]gfChwURhFgqK8LLPOglASk2jzsfKAZgyJzSKay7VCGMcoghfwInQ3ED+/z8om1hzAbEOeApuAMjNTZS4wRyPjLwl3LoVQLSB6Ak0XuTsjOT0xTScxymIihg5BARWmQkfCs4NQpm4q/AJ5LE4wBOWaZMphaYo+JaTF46GOIo=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000028,Hans-Juergen,Roerricht,Male,2010-08-03,Vilsbiburg,pQ39WUVMEt4+rrfqwvYb5GaGP6HcgDtC8p8C [...]pQ39WUVMEt4+rrfqwvYb5GaGP6HcgDtC8p8CaauqGHF5LrICmMVAtUo8Odi60crsnjWplAk4CowwxP1CoyaeozlkDpIuhRS2OkyM47Qk4Ucp9OwXyenAKZqpoTggzpxeG+pmebJsfxN5CKrEBRpcnxIOt4AtKv4Ywgp6iDA=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000035,Janina,Gorlitz,Male,2005-08-20,Rudolstadt,uV48h5DUBhiyg7KMkuUILA6Eb5NZxHqsqJHL [...]uV48h5DUBhiyg7KMkuUILA6Eb5NZxHqsqJHLHZqC9kpRCB6ryhiJiJkt7BYgqaJYkrDc1xmSHKuroDwrC7RKBDglAQIE+bAwe2TjLbKxrb0tvCkugQFgZKpkkZyAhIjeIFM5E8AtaJt4GJjFwDkSmlIIxJgpaVleAAsYG6A=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000042,Gerald,Holt,Female,1912-09-05,Reutlingen,pX+CoASJASwqRKeR+CkQjC1Hj2Ahyhow9fWJ [...]pX+CoASJASwqRKeR+CkQjC1Hj2Ahyhow9fWJYAKRQ2Oari1R8IkYFlM3QC8SCZhJUxcLrKNhAV7ohpZqgTaFAImtWiKUQDCyildEb8hgCOcx5UAcokGGqurJFVAwEl1XCMINEBgwL8spEQFYIBJWgdAIYoVI+k6JdxxEcgg=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000059,Alexa,Kitzmann,Unknown,1069-02-04,Paderborn,Fcwo3UWMgCPYZ9SKtERZwCGCSdKQGjY4kLXJ [...]Fcwo3UWMgCPYZ9SKtERZwCGCSdKQGjY4kLXJ1QiDN2APAKLnFojGfw58EK8mfAIJnjRSoGmKFa0KpywmCyVHFBj0V4Es7TQAK0QHp75UFiEMAOlUikRMAepmVRoaMRPWscgewPBdZRxgdrlkLFgeGBsFCQZmc2Ze1gZRF3A=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000066,Gerfried,Wagenknecht,Male,1110-09-14,Meppen,hcfaCA1Mwh4qzg+ZEoBbOC8sHcWQKQrR6L6P [...]hcfaCA1Mwh4qzg+ZEoBbOC8sHcWQKQrR6L6PxaOVEGuYJamTLUkyvJtdGRcsuxtBfTfIsIg4hg0qzf0gAB4L6zkNfQIEQZowLp2N+ZosKFwEdslfw4mAKl5ujUkqGJ0mGcYgcLVYj6I4PAsIADHe6hgIytCEmc9hUE4WCKI=,2023-09-05 11:46:08,2023-09-05 11:46:08
1001000000073,Ljudmila,Geisel,Divers,1511-08-22,Haldensleben,Z31AiEnglK4KRx6JUIQpzFF/OEmoluEwL9cq [...]Z31AiEnglK4KRx6JUIQpzFF/OEmoluEwL9cq8y6VTG1ZjSwPtEguFSgeoh263VBjyTVMIELohYRcxoUi5xILhA0VeBadafAncO4MnqAD+yFcTEWaiakqhVhglRhJMw0sOdJJNdZwD+EI5nEJdDmOD7MNPFIw9JYxVhwFPbA=,2023-09-05 11:46:09,2023-09-05 11:46:09
1001000000080,Bernard,Beyer,Divers,1408-08-19,Sonneberg,oFKCI1XAFsYOQPULSpMYQiaHvAUAviqAq4GK [...]oFKCI1XAFsYOQPULSpMYQiaHvAUAviqAq4GKiQSojGIxIjQTiYKHhRL+/zsRgiDNMDOAatIFwJASgsDy5yNZ4c1EahR9AGCUaBZMA9qswMbcxGKHwARHiUzCjxAE1QKaCkYYQaCwjTZoRSJMzSLyS1kBVAJkNFKGMsKuMFA=,2023-09-05 11:46:09,2023-09-05 11:46:09
1001000000097,Nadin,Staude,Unknown,1051-12-03,Grafenau,LlyIXEWBiA5EQw9DFIHpaNAsSQyN/sIA+o0I [...]LlyIXEWBiA5EQw9DFIHpaNAsSQyN/sIA+o0IxWqSBOuQSq1LwIlsAViwPofEmRgVX1gFKkMgoNwoxQkiTYZGiAxdljgVRQUAmgYhjeiFxp1NQGHYgAX8DZkkBRSgESjdcQggxXD0KTYIUQXIQGnShbIYaWkMoLZLF4hCmNA=,2023-09-05 11:46:09,2023-09-05 11:46:09
1001000000103,Walentina,Ruppersberger,Female,1003-09-06,Rathenow,pV2T70TMWBruXMHNmrchhGUkjhObinYuWLWZ [...]pV2T70TMWBruXMHNmrchhGUkjhObinYuWLWZYmm1W2mxpmqrqGFQQ1L//y8Ko9lL2xdMpm22EtUgF94yTyzPB9l/XxGewaSyaD8R8piwgnAp9GWT4imIHhruERtg3g7SnIoOcds5LVk4YBUA6jW2whOMggAsYdeRloh21BI=,2023-09-05 11:46:09,2023-09-05 11:46:09
1001000000110,Andrey,Zimmer,Unknown,1406-08-18,Erfurt,iErMGiRljhRvQfYJFOAAhgeSbDAwspOMIN6K [...]iErMGiRljhRvQfYJFOAAhgeSbDAwspOMIN6KDRiiFjNxoIjHAQoCATz+/7lUhkvIrREGJlpYJNDCAaE2j454oXhkLjgMwQUFEYhA5/KcpPoERDJkkCFKMEoipoIgEaqOHtOAkqV0MBoJJAoyCFOWJ1AKpEJ7It5GtBMyAOU=,2023-09-05 11:46:09,2023-09-05 11:46:09
1001000000127,Cengiz,Holsten,Male,1013-09-29,Greifswald,blApDgPJEo4q3M6LSHLZTWbSyWbimGoSVAhq [...]blApDgPJEo4q3M6LSHLZTWbSyWbimGoSVAhqYlrPRCjQYChfEIiMwVEZeGEZuBtRmFMI8M5EMcSp5KnixhAKUEjqANUEpUB0SPyA/oQFZpmO4OwfsCh4KIh5g16QmKkZW8AuQPy4mA1ACGfAhCkWi0UJn8Ic6hqQhJjfKUw=,2023-09-05 11:46:09,2023-09-05 11:46:09
